,AGE,SEX,CLASS,INCTOT
38288,34,M,um,82750
138770,64,F,lm,25002
60263,25,F,lm,40000
55500,27,M,um,50001
57258,75,M,um,102725
37884,16,M,um,0
138198,36,M,lm,36000
137521,15,M,lm,0
63662,16,F,um,0
47032,18,M,um,16605
2346,55,M,u,97001
78686,30,F,um,20300
24514,65,F,um,114806
136366,31,F,lm,37002
102001,42,M,lm,52025
80794,53,F,um,34010
2060,47,M,u,176000
52376,65,M,um,79766
36498,15,F,um,0
166762,79,F,w,7980
136994,22,F,lm,18500
129924,44,F,lm,17000
6724,45,M,um,224402
90757,47,F,lm,70363
38781,54,F,um,0
11410,17,M,um,12011
163524,45,M,w,20000
102866,66,M,lm,36544
43118,56,F,lm,73201
123394,51,F,lm,0
133073,44,M,lm,30000
155065,26,M,w,0
30330,65,M,um,55243
21658,61,M,um,60000
140488,71,M,lm,34812
38368,53,M,um,75210
71367,41,F,lm,51006
93590,46,M,lm,50016
67374,16,F,lm,8304
12646,58,F,um,87438
41582,85,F,um,12059
158744,29,F,w,23000
27490,42,M,um,70950
154501,15,M,w,0
152805,31,M,w,19200
72286,34,M,um,40000
179561,19,F,l,7000
87659,15,M,lm,0
6832,38,M,lm,42000
171160,69,F,l,14448
83018,40,F,um,0
50405,58,M,lm,35002
79166,64,M,um,56034
19160,35,F,um,45516
117593,22,M,lm,50000
119531,56,F,lm,36837
142068,18,F,lm,18409
138834,31,F,l,5600
52837,29,M,um,26702
9157,31,M,w,25000
123027,54,F,lm,0
118990,22,M,lm,17000
146004,18,F,lm,6000
43632,44,M,um,100375
5585,61,F,um,81423
159106,15,M,w,0
144566,61,M,lm,0
158625,46,M,w,23000
54878,33,F,um,0
39663,33,F,um,300
165282,39,F,w,13000
140843,72,M,lm,15332
58622,44,M,um,11000
92687,56,F,w,4800
124184,27,M,lm,45055
28457,24,F,um,10000
30897,54,M,um,103002
171753,56,M,l,14000
18868,43,F,um,65000
99145,43,M,lm,50027
63645,44,M,um,85323
74967,62,M,um,10020
104584,16,M,lm,8000
14002,58,F,um,200016
121100,44,M,lm,10500
41319,16,M,um,0
65105,34,F,um,81396
6664,22,M,um,38680
129466,43,M,lm,27419
16522,66,M,um,46134
6097,48,M,um,170022
168883,56,F,l,16000
15008,57,M,um,0
136119,23,M,w,16100
162425,62,F,w,5032
23094,31,M,um,60000
179530,18,M,l,0
125616,75,F,lm,22080
159039,20,M,w,15600
183548,23,M,l,0
96896,25,M,lm,18700
117560,15,M,lm,0
139728,34,F,l,0
25083,50,M,um,108010
103309,56,M,lm,55096
8254,55,F,um,45029
10393,35,M,um,100000
165229,33,F,w,4788
16328,41,F,um,128702
148162,41,F,w,12000
80725,46,F,um,12059
32454,17,M,um,5400
123912,47,M,lm,34124
153244,43,M,w,0
118705,67,F,lm,9252
74259,49,M,um,30002
128518,58,M,lm,42010
136860,66,M,lm,25720
105123,26,F,lm,59263
85302,67,M,um,75011
91443,18,M,lm,0
174569,59,M,l,11664
120965,71,M,lm,29021
102208,27,F,lm,16000
167686,61,M,w,16930
54581,37,F,um,0
168740,38,M,l,16000
111990,70,F,lm,10250
182560,48,M,l,1200
175186,35,F,l,11000
51036,28,F,um,45038
30363,22,F,um,25000
84212,18,M,um,0
79779,52,F,um,0
143691,61,M,lm,32314
13933,57,M,um,150085
142688,71,F,lm,33043
25408,64,M,um,81390
22672,43,F,um,128987
38684,46,F,um,0
99080,20,F,lm,4700
111556,63,F,lm,54104
27204,53,M,um,34963
26373,41,F,um,61571
38095,32,M,um,120000
143442,62,M,w,19250
163791,75,M,w,19924
154376,35,M,w,25000
117080,53,M,lm,20000
154274,38,M,w,25002
3173,32,F,um,80426
86140,35,F,lm,19504
31891,45,F,um,42000
86094,46,M,lm,71442
150595,53,M,w,28161
10637,48,F,um,52113
32416,53,M,um,104011
176702,51,F,l,9971
70182,62,M,um,26311
106379,46,F,lm,8000
135748,52,F,lm,29100
66173,58,M,um,81042
169914,32,F,l,15072
145701,76,F,lm,5892
60115,25,M,lm,50000
56447,62,M,l,15648
21759,17,F,um,0
15917,52,F,um,110000
133298,50,M,lm,39000
63307,47,M,um,45016
101442,68,F,lm,28017
105996,77,M,lm,42059
45397,52,F,um,49258
31667,63,M,um,35442
130009,26,F,lm,41000
36331,33,F,um,1040
9363,16,M,um,0
38830,37,M,um,65011
89597,41,F,lm,47310
22086,16,M,um,350
1888,72,M,u,147168
109150,29,M,lm,45041
126571,77,F,lm,35200
88100,59,M,lm,42558
32956,64,F,um,30000
29541,42,M,um,60040
39596,29,M,um,91923
127610,69,M,lm,35574
160282,45,F,w,0
10646,47,F,um,20000
53517,17,M,um,0
56114,72,F,um,31015
61924,70,M,um,47800
15837,15,F,um,0
68174,47,M,um,40004
96287,29,M,lm,37005
37541,69,M,um,130406
17596,15,M,l,0
154706,66,F,w,25272
58672,68,F,um,25064
39900,42,F,um,66232
65355,50,M,um,60008
16192,38,F,um,128006
56964,18,F,um,0
181286,33,M,l,0
176481,57,F,l,10000
148471,33,M,w,30000
44914,63,F,um,49052
24719,64,F,um,7033
73890,30,M,um,85020
37176,58,F,um,0
95897,41,F,lm,30005
155068,51,M,w,25032
83420,29,M,lm,34500
13359,28,F,lm,52050
118441,66,F,w,7864
125959,58,F,lm,44027
63576,40,M,lm,45086
146006,21,M,lm,3411
93467,36,F,lm,8091
119635,63,M,lm,26225
182771,27,F,l,720
69019,35,M,um,90028
87221,76,M,lm,45648
110782,66,M,w,30000
57198,31,F,lm,47784
100663,76,M,lm,51567
170864,69,F,l,8496
101724,79,M,lm,52401
133262,66,M,lm,39198
48518,53,M,um,100255
4058,62,F,um,65517
128190,72,M,lm,42252
61841,43,F,um,28000
185144,62,F,l,0
82841,53,M,um,70000
61739,31,F,l,13020
118638,17,M,lm,0
108621,43,M,lm,25000
155447,30,F,w,12000
106388,65,F,lm,13043
34120,31,M,lm,60210
60833,34,F,um,0
103637,29,M,lm,30015
146382,72,M,lm,10358
166160,76,M,w,18000
135350,24,F,w,20000
165246,65,F,w,18612
41260,23,F,um,15000
15605,70,M,um,31870
123881,62,F,lm,5088
100396,62,M,lm,62429
176470,49,M,l,10000
30844,37,M,um,94400
60860,40,F,lm,50000
123055,37,M,lm,34000
32782,50,M,um,126058
43464,15,M,um,6
93505,31,M,lm,38100
52644,26,M,lm,64110
110390,24,M,lm,40000
135851,62,F,lm,11000
23185,44,F,um,26024
144447,51,M,lm,32000
12833,24,F,l,10400
35165,46,M,um,58139
125590,18,F,lm,1
12017,59,F,um,26400
23939,20,M,um,12000
160765,80,F,w,21600
16571,55,F,um,1530
182965,71,M,l,0
115191,71,M,lm,35390
35143,34,M,um,100178
172454,69,M,l,13265
172551,24,F,l,0
159446,70,M,w,13260
131351,51,F,lm,40020
53241,57,M,um,60000
23244,37,M,um,100700
116135,31,F,lm,4000
131029,69,M,lm,9299
50683,68,M,um,61401
127285,43,F,lm,43001
166003,18,F,w,0
89496,43,M,lm,21400
129483,69,M,w,17400
148601,61,M,w,23000
68552,66,F,um,10332
156621,17,M,l,1308
41969,78,M,um,81016
143744,68,F,lm,32239
135137,49,M,lm,35000
46642,38,F,um,36815
154528,72,F,w,5047
177313,56,F,l,9360
161893,69,M,w,12779
62159,80,M,um,54007
27678,28,F,um,35100
41652,77,M,um,89416
17062,35,F,um,74310
153949,44,F,w,0
165999,42,F,w,18002
125281,25,M,lm,44710
108604,42,F,lm,25012
93741,45,M,lm,40002
74100,33,M,um,60000
137642,49,F,lm,350
93594,37,M,lm,55259
172320,76,M,l,13391
84394,23,M,um,20000
144179,52,M,lm,20000
56510,39,M,um,51613
144934,18,M,l,5000
95309,85,F,lm,66624
30877,16,M,um,0
114335,29,F,lm,52000
46031,48,M,lm,53739
103261,53,F,lm,20000
153346,23,M,w,5021
147494,46,M,lm,30001
93463,69,F,lm,20136
84702,51,M,um,75245
104434,31,M,lm,60000
100770,23,F,lm,16007
169446,17,M,l,10000
61876,34,M,lm,14000
20465,50,F,um,101042
93437,36,M,w,25000
82011,60,F,um,0
103479,24,F,w,18002
162099,37,F,w,13524
107144,37,F,lm,57530
107202,20,M,lm,27000
51549,36,M,lm,64946
161949,67,M,w,20688
91471,52,F,lm,35004
153579,57,F,w,26007
179318,35,M,l,50
49012,17,M,um,7072
102419,18,M,lm,12010
167416,23,M,w,17001
105534,45,M,lm,59000
81092,23,F,lm,36380
163601,27,M,w,20000
55057,52,F,um,3303
1328,28,F,u,410
8454,72,F,um,9836
105330,54,M,lm,38036
101100,30,M,lm,27000
124272,33,M,lm,45026
103484,23,F,lm,30030
109848,65,M,lm,40024
38605,33,F,um,36800
57095,22,F,um,21000
6006,65,M,um,273059
180728,47,M,l,0
51871,45,F,um,33821
175476,85,F,l,10800
69339,31,F,um,38000
80145,17,M,um,0
153428,36,F,w,12802
88583,51,M,lm,55050
861,53,F,u,32000
164061,23,M,w,14300
112473,25,M,l,12859
74529,51,F,um,22059
68408,20,F,um,9000
125700,68,F,lm,44280
49699,72,M,um,82001
64687,34,M,w,30000
171476,85,F,l,14160
174183,41,M,l,12000
31570,18,M,um,2005
15249,46,F,um,72880
77071,26,M,um,42010
170865,48,F,l,6196
135467,19,F,lm,1000
65612,58,M,um,28000
154638,67,M,w,15659
185421,67,F,l,0
182299,20,F,l,1800
112799,40,M,lm,20002
5408,35,M,um,200000
115420,70,M,lm,34656
24243,51,M,um,115745
165155,37,F,w,18720
46010,62,M,um,97107
153382,59,M,w,26186
57439,58,M,um,54963
181134,30,F,l,4200
151644,26,F,l,0
137390,26,F,lm,6288
2953,52,M,u,244999
182797,40,F,l,600
149405,47,F,w,6059
6619,41,F,um,250033
41234,41,F,lm,49303
82180,26,M,um,6000
29224,27,M,l,4000
35521,43,M,um,38064
31620,45,M,um,77928
185118,44,M,l,0
50362,38,M,um,76002
63821,44,M,um,27000
9990,16,M,um,0
70435,33,F,um,49000
168607,60,F,w,12059
54727,33,F,um,35000
184437,24,M,l,0
151970,71,M,w,19800
22792,65,F,um,30198
156872,69,F,w,13259
138260,21,M,l,12000
159252,75,F,w,8461
52562,72,F,um,21406
85163,39,M,um,75016
126625,51,M,lm,40005
135375,54,M,lm,30800
25637,45,F,um,60553
113208,64,M,lm,19608
138383,70,F,lm,35856
33652,21,M,um,95600
168018,15,F,w,9264
157037,40,F,w,24003
116371,50,M,lm,40000
36928,49,M,um,61393
143926,35,F,lm,32046
81342,59,F,um,15008
124872,27,F,lm,20000
104132,39,F,lm,30000
79843,28,M,w,30000
42028,38,M,um,85025
58222,40,F,um,42178
90879,52,F,lm,21325
180396,36,F,l,5500
67062,43,F,lm,62004
10526,41,F,um,70200
101678,31,F,lm,30
59109,53,F,um,50000
173968,78,F,l,12000
141472,18,M,w,23000
84300,54,F,um,40752
97351,26,M,lm,26002
96038,26,M,lm,48000
158328,78,F,w,23176
123004,32,F,lm,46001
164975,46,M,w,17001
145720,25,M,lm,11
139298,63,M,lm,35015
132847,34,M,l,11586
66128,61,F,um,58565
83583,17,F,um,25000
4365,29,M,um,86663
15744,40,F,um,190150
129634,34,F,lm,30001
158389,28,M,w,22500
133447,67,F,lm,39017
143253,79,F,lm,32767
144658,30,F,lm,600
69804,38,F,um,25012
40002,42,F,um,2
143389,28,F,lm,32600
19417,28,M,lm,75000
75299,38,M,um,73016
83297,22,F,um,953
102074,56,F,lm,3
22876,56,M,um,131357
133548,26,F,lm,5720
100602,56,M,lm,40165
18969,38,M,um,53311
76643,61,F,um,36337
25989,48,M,um,155000
55024,23,F,um,25310
57668,35,F,lm,30000
121361,66,M,lm,14763
97030,53,F,l,15030
184271,32,F,l,0
43471,20,F,um,10000
30064,32,M,um,121001
165188,75,F,w,18695
77659,21,F,um,7000
38705,55,F,lm,30051
11404,66,M,um,182625
68414,23,F,w,18505
145912,21,M,l,12000
128288,50,F,lm,0
10738,66,F,um,100039
66177,41,F,lm,16
162185,51,M,w,0
112957,64,F,lm,25001
108497,47,F,lm,56346
51939,38,F,um,30145
79681,21,F,um,30000
102290,36,F,lm,23000
127092,49,F,lm,0
21007,17,F,um,520
116941,32,F,l,12026
15148,65,M,um,193280
111255,65,M,lm,18000
30385,54,M,um,65088
152782,15,M,w,0
164019,53,M,l,0
14697,54,M,um,182000
105295,39,M,lm,11156
40337,18,M,um,2300
29630,27,F,lm,44006
70415,54,F,um,30000
47502,22,F,l,10000
55586,44,M,um,45000
175545,46,F,l,10708
5201,50,F,um,10700
148324,61,M,w,15000
149731,71,M,w,5000
26925,66,M,um,92208
114284,53,M,lm,12000
118774,73,F,lm,19248
118200,73,F,lm,6261
67406,57,M,um,39507
137167,30,M,lm,35000
82664,73,M,um,33000
81764,16,M,um,0
148323,68,F,w,30000
160674,74,M,w,21633
99798,30,F,lm,25005
38234,40,F,um,51011
31211,15,F,um,3000
7541,46,M,um,250016
32833,47,F,um,60008
143310,64,M,lm,6
17528,16,M,um,0
133935,85,M,lm,38820
66827,40,M,um,66303
182183,37,F,l,2000
134664,43,F,lm,10200
50554,26,F,lm,60865
172010,35,F,l,13727
172071,66,F,l,13656
129083,52,F,lm,11775
170201,55,F,l,15000
147805,26,F,w,0
31675,54,M,um,72337
104708,68,F,lm,12059
170117,44,M,l,15000
37374,17,M,um,2021
161959,79,F,w,9816
130820,34,F,lm,40360
134743,74,M,lm,38118
58065,22,M,um,15708
132359,34,F,lm,0
35440,46,F,um,75000
94423,80,M,lm,19259
37695,47,F,um,57076
97833,36,F,lm,25920
90702,36,F,lm,17680
67223,71,M,lm,9216
59710,20,M,um,0
86971,28,M,lm,50000
32087,85,M,um,110438
105325,78,F,lm,59057
153429,19,F,w,12367
65798,55,F,um,32045
169386,77,F,l,15600
117709,19,M,lm,5000
83473,18,F,um,0
168247,76,F,w,16379
74650,80,F,um,14400
23539,39,M,um,150000
113607,22,F,lm,18000
123465,50,M,w,22816
137502,50,F,lm,22200
68122,44,M,um,90781
67175,28,F,um,92000
9563,53,M,um,138005
24575,38,F,lm,50000
134483,69,F,lm,38352
63050,41,M,um,36223
122039,24,F,lm,19000
181116,54,F,l,4240
70623,74,F,um,32803
136727,28,M,lm,36860
178886,53,F,l,8000
54873,50,F,um,20000
48149,33,F,um,47072
61918,17,M,um,0
163885,55,M,w,19800
94212,50,M,lm,2600
51853,43,F,um,10008
80896,21,M,um,30000
164892,46,F,w,7000
124868,29,M,w,21000
105838,71,F,lm,58628
19328,50,M,um,25259
18617,26,M,um,57000
144058,54,M,lm,3
5851,41,M,um,267500
146838,17,M,lm,214
20020,22,F,um,8002
19948,30,M,um,36001
155365,31,F,w,25000
170873,75,F,l,3288
10559,33,M,um,170002
139928,17,M,lm,3000
151835,28,M,w,27300
162937,46,F,w,20002
136720,25,F,l,0
1255,76,F,l,10546
88805,34,F,lm,22001
134390,85,M,lm,27696
153256,76,F,w,26311
138655,54,F,lm,35534
53246,53,M,um,84025
175343,58,M,l,10871
106103,57,M,w,27022
182465,63,M,l,475
24081,15,M,um,0
166879,58,F,w,8760
181752,60,F,l,0
19904,33,M,um,105000
104963,74,F,lm,17940
58640,44,F,um,48010
152899,70,F,w,15608
112612,27,F,lm,15205
58572,38,F,um,39081
100877,36,F,lm,25018
97019,43,M,lm,23000
146855,67,M,l,9407
93496,40,F,lm,46102
38748,56,M,um,120000
137086,75,M,lm,19259
167485,16,M,w,0
53324,71,F,um,7297
166171,36,F,w,18000
150016,30,M,w,28702
174820,68,F,l,3636
43684,29,F,um,110
169390,57,M,l,15600
47635,54,F,um,90000
87949,54,F,lm,31500
28989,19,M,um,4364
174880,39,M,l,11360
132029,49,M,lm,40000
42606,27,M,um,60010
139585,34,M,lm,35000
102928,27,F,lm,0
136785,80,M,lm,36811
169239,85,M,l,15649
128376,45,F,lm,12065
61073,44,F,l,8448
135919,36,M,lm,37000
6973,34,F,um,70058
130410,21,M,w,17500
131943,31,F,lm,0
14915,54,M,um,120810
11298,60,M,um,66025
151300,59,F,w,20495
158489,85,M,w,12108
147675,31,M,l,0
75847,69,M,um,83140
